ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split
0.9993195020746888,0.9999657219983613,0.9861828105609746,0.8157337949383904,0.8381742738589212,1.0,0.6763485477178424,0.9838442419221209,1.0,0.011101680066179854,0.5,163,78,0,4750,RF_inactive_weight_1,1,Train
0.9571408529741863,0.997127475834185,0.8624770094620496,0.6573940778585077,0.7222222222222222,1.0,0.4444444444444444,0.9723756906077348,1.0,0.019773689651164304,0.5,12,15,0,528,RF_inactive_weight_1,1,Validation
0.8208164924244135,0.9861063416125466,0.39173770991425805,0.32707217951487605,0.5734922211935782,0.9977307110438729,0.14925373134328357,0.9585755813953488,0.7692307692307693,0.036811084661413876,0.5,10,57,3,1319,RF_inactive_weight_1,1,Test
0.9993168814151562,0.9999655174866169,0.9866089792184009,0.7947279029477109,0.823546189124263,0.9997894736842106,0.6473029045643154,0.9824162184526273,0.9936305732484076,0.011355280522408806,0.5,156,85,1,4749,RF_inactive_weight_1,2,Train
0.989337822671156,0.9994136254893876,0.9121294046555035,0.6853799545726015,0.7583122895622896,0.9981060606060606,0.5185185185185185,0.975925925925926,0.9333333333333333,0.01619462877393274,0.5,14,13,1,527,RF_inactive_weight_1,2,Validation
0.8230293314065076,0.9849186936790436,0.3959325053921133,0.3210561071767087,0.5664077494524352,0.9984871406959153,0.13432835820895522,0.9579100145137881,0.8181818181818182,0.03687370542362511,0.5,9,58,2,1320,RF_inactive_weight_1,2,Test
0.9992653417776808,0.9999629720867199,0.9852651611775625,0.8207905265837767,0.8482319283686395,0.9993684210526316,0.6970954356846473,0.9848547717842324,0.9824561403508771,0.010727595046547378,0.5,168,73,3,4747,RF_inactive_weight_1,3,Train
0.946057800224467,0.9966921314509236,0.7465671808842035,0.6573940778585077,0.7222222222222222,1.0,0.4444444444444444,0.9723756906077348,1.0,0.023711726487684947,0.5,12,15,0,528,RF_inactive_weight_1,3,Validation
0.8251405604353422,0.9864701611857287,0.3991002573770243,0.30574810065813934,0.566029534626414,0.9977307110438729,0.13432835820895522,0.9578794480755265,0.75,0.03667224873060319,0.5,9,58,3,1319,RF_inactive_weight_1,3,Test
0.9994950862633762,0.9999745659387476,0.9896541255038227,0.8182498992785673,0.8422183882943874,0.9997894736842106,0.6846473029045643,0.9842487046632125,0.9939759036144579,0.01073174855280574,0.5,165,76,1,4749,RF_inactive_weight_1,4,Train
0.9403759820426487,0.9959580570392241,0.8015009157626007,0.6573940778585077,0.7222222222222222,1.0,0.4444444444444444,0.9723756906077348,1.0,0.021522683403748126,0.5,12,15,0,528,RF_inactive_weight_1,4,Validation
0.8205681125386682,0.986763327262943,0.38623696143691794,0.28314834341706496,0.5585668480592498,0.9977307110438729,0.11940298507462686,0.9571843251088534,0.7272727272727273,0.037151082837396834,0.5,8,59,3,1319,RF_inactive_weight_1,4,Test
