fingerprint_bit,importance
1145,0.019971198248662527
1482,0.013299769813919449
231,0.01171478193159323
1236,0.011341603817320835
687,0.010607967395324193
1405,0.009563378076249057
1647,0.008775240181941774
2024,0.008350635475034845
490,0.008126879917509185
1825,0.007898462248435016
1898,0.007544461130879136
650,0.007528651289452383
1708,0.006847250214181647
1019,0.006774073076362421
1911,0.0067591335481349745
350,0.006757441056319575
1160,0.006197651337280741
499,0.006098434827607206
1295,0.005976823794244874
233,0.005760325970174881
352,0.005282563675254557
1765,0.005241351400134676
1929,0.005104682092717115
1039,0.005090451561242236
1849,0.005072464276749387
832,0.005060512112957513
1476,0.005052009061301046
580,0.0049828845545989405
736,0.004917151713422097
1738,0.004857529514339404
1152,0.004797427787682818
1357,0.004786150359440812
1066,0.004727845795780486
1745,0.004694701865782072
1410,0.004626321531372648
1222,0.004550041510424302
893,0.004508017890631761
319,0.004502164162118586
1634,0.004474299349661884
935,0.004459335878746784
1325,0.004456269068909079
875,0.0044444041097334635
667,0.004365979235982731
1671,0.004246944977366884
559,0.004238758711207077
20,0.004219190055638259
1597,0.004201728008011523
74,0.004052111319134086
653,0.0039884943228789575
1536,0.003987478997110839
9,0.003962200870977293
1162,0.0038926587382795193
191,0.0038913748366576377
1791,0.003886116358448482
784,0.003880386947856867
807,0.0038724528422939427
1508,0.0037142688028651023
114,0.0036939784652697347
1689,0.003664762743233927
29,0.0035550117559882705
679,0.0035524691068290503
104,0.0034270927725575024
371,0.0033679463480580196
389,0.0033340535200644377
455,0.0032985643996549176
926,0.0032934549580169482
781,0.0032924354992994115
338,0.0032919362557459263
562,0.003260646357604292
1199,0.003248360497931907
1518,0.0032412062284122513
1564,0.0031471238193529595
841,0.003102100331522302
561,0.0030779795016902547
341,0.003053806475897831
1722,0.0030342252993643443
13,0.0030106588761901944
1970,0.0029913002841908077
1754,0.0029831933603641746
1655,0.002980619736059684
765,0.0029793484074592124
1917,0.00291518168938912
387,0.002901189485538586
407,0.0028915899136316386
1060,0.0028905682767683687
1972,0.002841314446408093
2000,0.002830321486953611
